County	PR	TP	 R      D      Lib W1 W2 W3 W4 W5 W6 W7 W8 W9 Total
GREENE	10	10	4,532	3,339	47	0	0	0	0	0	0	0	1	0	7,919
GWINNETT	163	163	158,746	129,025	2,345	0	100	0	0	0	8	0	47	0	290,271
HABERSHAM	16	16	11,766	2,900	127	0	12	0	0	0	0	0	3	0	14,808
HALL	41	41	44,962	14,457	504	0	3	0	0	0	1	0	1	0	59,928
HANCOCK	9	9	795	3,535	14	0	0	0	0	0	0	0	0	0	4,344
HARALSON	14	14	8,658	2,248	176	0	12	0	0	0	0	0	3	0	11,097
HARRIS	14	14	10,648	4,184	68	0	4	0	0	0	0	0	4	0	14,908
HART	9	9	6,537	3,365	89	0	9	0	0	0	0	0	2	0	10,002
HEARD	11	11	3,133	1,042	44	0	3	0	0	0	1	0	2	0	4,225
HENRY	40	40	47,157	40,567	580	0	4	0	0	0	0	0	3	0	88,311
HOUSTON	26	26	33,392	22,094	386	0	40	0	0	0	0	0	19	0	55,931
IRWIN	10	10	2,605	1,197	26	0	0	0	0	0	0	0	0	0	3,828
JACKSON	18	18	17,776	4,950	215	0	15	0	0	0	1	0	3	0	22,960
JASPER	9	9	3,916	1,935	49	0	3	0	1	0	0	0	0	0	5,904
JEFFDAVIS	11	11	3,867	1,356	50	2	2	0	0	0	0	0	1	0	5,278
JEFFERSON	10	10	3,061	4,149	24	0	0	0	0	0	0	0	0	0	7,234
JENKINS	7	7	1,936	1,482	21	0	0	0	0	0	0	0	1	0	3,440
JOHNSON	9	9	2,426	1,198	20	0	3	0	0	0	0	0	0	0	3,647
JONES	13	13	7,782	4,572	79	0	3	0	0	0	1	0	1	0	12,438
LAMAR	8	8	4,873	2,752	60	0	2	0	0	0	0	0	1	0	7,688
LANIER	5	5	1,787	1,062	21	0	1	0	0	0	0	0	2	0	2,873
LAURENS	20	20	12,052	7,769	110	0	3	0	0	0	0	0	3	0	19,937
LEE	12	12	9,925	3,100	56	0	4	0	0	0	0	0	2	0	13,087
LIBERTY	15	15	5,828	10,474	69	0	4	0	0	0	0	0	1	0	16,376
LINCOLN	9	9	2,731	1,650	35	0	0	0	0	0	0	0	0	0	4,416
LONG	7	7	2,119	1,288	43	0	0	0	0	0	0	0	0	0	3,450
LOWNDES	34	34	21,269	17,597	188	0	13	0	0	0	2	0	9	0	39,078
LUMPKIN	17	17	8,326	2,586	151	0	5	0	0	0	3	0	4	0	11,075
MACON	7	7	1,712	3,251	18	0	0	0	0	0	0	0	0	0	4,981
MADISON	14	14	8,226	2,965	128	0	8	0	0	0	0	0	7	0	11,334
MARION	9	9	1,772	1,381	29	0	2	0	0	0	0	0	0	0	3,184
MCDUFFIE	12	12	5,400	3,989	50	0	1	0	0	0	0	0	0	0	9,440
MCINTOSH	8	8	3,282	2,905	41	0	0	0	0	0	0	0	1	0	6,229
MERIWETHER	16	16	4,982	4,465	52	0	4	0	0	0	0	0	1	0	9,504
MILLER	3	3	1,899	818	21	0	0	0	0	0	0	0	0	0	2,738
MITCHELL	13	13	4,201	3,872	45	0	2	0	0	0	0	0	0	0	8,120
MONROE	16	16	7,933	4,106	79	0	8	0	0	0	1	0	4	0	12,131
MONTGOMERY	9	9	2,521	1,045	23	0	1	0	0	0	0	0	0	0	3,590
MORGAN	12	12	5,987	3,091	70	0	1	0	0	0	0	0	2	0	9,151
MURRAY	9	9	8,180	3,026	163	0	6	0	0	0	0	0	7	0	11,382
MUSCOGEE	50	50	29,568	44,158	285	0	18	0	0	0	4	0	32	0	74,065
NEWTON	24	24	20,337	20,827	237	0	19	0	0	0	5	0	10	0	41,435
